label	correction
1	" The sentence is grammatically correct.
"
1	" None
"
1	" The correct version of the sentence is: ""The mechanical doll wriggled itself loose.""
"
1	" The correct version of the sentence is: ""If you had eaten more, you would want less.""
"
0	" The correct version of the sentence is: ""The more you eat, the less you want.""
"
1	" The correct version of the sentence is: ""The more you would want, the less you would eat.""
"
0	" The correct version of the sentence is: ""I demand that the more John eats, the more he pays.""
"
0	" The correct version of the sentence is: ""Mary listens to the Grateful Dead and she gets depressed.""
"
1	" The correct version of the sentence is: ""The angrier Mary got, the more she looked at pictures.""
"
1	" The correct version of the sentence is: ""The higher the stakes, the lower his expectations are.""
"
1	" The correct version of the sentence is: ""The more Fred is obnoxious, the less attention you should pay to him.""
"
0	" The correct version of the sentence is: ""John was a lot more obnoxious than Fred.""
"
0	" The correct version of the sentence is: ""The more people you give beer to, the more people get sick.""
"
0	" The correct version of the sentence is: ""The more Bill smokes, the more Susan hates him.""
"
1	" The correct version of the sentence is: ""The more pictures of him that appear in the news, the more embarrassed John becomes.""
"
1	" The correct version of the sentence is: ""Every senator seems to become more corrupt as he talks to more lobbyists.""
"
0	" The correct version of the sentence is: ""Who does John visit Sally because he likes her?""
"
1	" The correct version of the sentence is: ""Marianne did not leave.""
"
1	" The sentence ""He could not have been working."" is grammatically correct.
"
0	" The correct version of the sentence is ""He cannot have been working.""
"
1	" The sentence is grammatically correct and does not require any correction.
"
1	" The sentence is grammatically correct and does not require any correction.
"
0	" The correct version of the sentence should be: ""I have never seen a place like Bangor in my life.""
"
0	" The correct version of the sentence should be: ""Mickey looked it up.""
"
0	" The correct version of the sentence should be: ""There tends to be a lot of discussion.""
"
1	" The sentence is grammatically correct and does not require any correction.
"
1	" The sentence is grammatically correct and does not require any correction.
"
1	" The sentence is grammatically correct and does not require any correction.
"
0	" The correct version of the sentence should be: ""The box contained a ball from a tree.""
"
0	" The correct version of the sentence should be: ""The tube was filled with gas and escaped.""
"
1	" The sentence is grammatically correct and does not require any correction.
"
0	" The correct version of the sentence should be: ""The tub leaked water.""
"
0	" The correct version of the sentence should be: ""The water filled the bottle.""
"
0	" The correct version of the sentence should be: ""The water filled the whole bottle.""
"
0	" The correct version of the sentence should be: ""The fluid leaked free from the tank.""
"
1	" The sentence is grammatically correct and does not require any correction.
"
1	" The correct version of the sentence is: ""John owns the book.""
"
1	" The correct version of the sentence is: ""We persuaded Mary to leave and Sue to stay."" (Note: There is no need to add a comma after ""Mary"" and before ""to leave"" as it is not necessary in this sentence.)
"
1	" The correct version of the sentence is: ""Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder."" (Note: The sentence is grammatically correct, but it would be better to add a comma after ""murder"" to make it more clear and easier to read.)
"
1	" The correct version of the sentence is: ""Mary plays the violin beautifully.""
"
0	" The correct version of the sentence is: ""Clearly, John will probably learn French perfectly immediately.""
"
0	" The correct version of the sentence is: ""Sue gave Bill a book."" 
"
1	" The correct version of the sentence is: ""The men will leave."" 
"
1	" The correct version of the sentence is: ""John went home.""
"
0	" The correct version of the sentence is: ""They represented Mary to the dean as a genuine linguist.""
"
1	" The correct version of the sentence is: ""We love they"" should be ""We love them."" (Note: The subject of the sentence is ""we"" and the object of the sentence is ""them,"" so the correct pronoun form is ""them."")
"
1	" The correct version of the sentence is: ""It is nice to go abroad."" (Note: The sentence is grammatically correct.)
"
1	" The correct version of the sentence is: ""Mary intended for John to go abroad.""
"
0	" The correct version of the sentence is: ""I remembered that I had kissed Mary.""
"
1	" The correct version of the sentence is: ""I can't believe that Fred won't either."" (Note: The sentence is grammatically correct, but it would be better to use the word ""that"" to introduce the subordinate clause and provide more clarity to the sentence.)
"
1	" The correct version of the sentence is: ""John wants to read Fred's story, and I do too.""
"
1	" The correct version of the sentence is: ""We wanted to invite someone, but we couldn't decide who to invite.""
"
1	" None
"
0	" The correct version of the sentence is: ""Mary claimed that Holly shouldn't eat cabbage.""
"
0	" The correct version of the sentence is: ""Mary came to be introduced by the bartender, and I also came to be.""
"
1	" Your sentence is grammatically correct.
"
0	" The correct version of the sentence is: ""Joe's neuroses bother his patrons, and Sally's do too."" or ""Joe's neuroses bother his patrons, and Sally does as well.""
"
1	" The correct version of the sentence is: ""I know which book José didn't read for class, and which book Lilly read it for him."" Note: ""did it for him"" can be replaced with ""read it for him"" as both are correct and convey the same meaning.
"
0	" The correct version of the sentence is: ""This is the book which Bob reviewed, and this is the one which Fred won't read it.""
"
0	" The correct version of the sentence is: ""I know which book Mag read, and which book Bob said that you hadn't read.""
"
0	" The correct version of the sentence is: ""I know which book Mag read, and which book Bob read my report that you hadn't.""
"
0	" The correct version of the sentence is: ""I'm sure I would like him to eat more fruit than cookies.""
"
0	" The correct version of the sentence is: ""Rusty talked about himself only after Mary had talked about him.""
"
0	" The correct version of the sentence is: ""Fred talked about everything before Rusty talked about something.""
"
1	" The sentence ""John often meets Mary"" is grammatically correct.
"
0	" The correct version of the sentence is: ""The problem is easily perceived.""
"
1	" The sentence ""A hundred men surrounded the fort"" is grammatically correct.
"
0	" The correct version of the sentence is: ""We elected me.""
"
0	" The correct version of the sentence is: ""Which report did he submit that John was incompetent?""
"
1	" The sentence ""Mary has always preferred lemons to limes"" is grammatically correct.
"
0	" The correct version of the sentence is: ""He let the cats out which were whining.""
"
1	" The sentence ""What did Bill buy?"" is grammatically correct.
"
1	" The sentence ""Mary saw the boy walking toward the railroad station"" is grammatically correct.
"
0	" The correct version of the sentence is: ""A proof that the claim had been made was given that John had lied.""
"
0	" The correct version of the sentence is: ""He attributed the fire which destroyed most of my factory to a short circuit which was caused by an overloaded transducer.""
"
0	" The correct version of the sentence is: ""The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.""
"
0	" The correct version of the sentence is: ""I want Bill to leave to remain a secret.""
"
0	" The correct version of the sentence is: ""I know a man whom Tom drives as does.""
"
0	" The correct version of the sentence is: ""Drowning cats, which is against the law, are hard to rescue.""
"
0	" The correct version of the sentence is: ""Muriel said nothing else than that she had been insulted.""
"
1	" None
"
1	" Correct version: I feel that Arch will show up.
"
1	" Correct version: The proof that this set is recursive is difficult.
"
0	" Correct version: The madrigals that Henry plays on the lute and sings sound lousy.
"
1	" Correct version: Tom picked these grapes, and I washed some turnips, and Suzie will prepare them.
"
0	" Correct version: Where did you go, and who ate what?
"
0	" Correct version: Which boy's guardian's employer did we elect president?
"
1	" Correct version: How sane is Peter?
"
1	" Correct version: I live at the place where Route 150 crosses the River, and my dad lives at the place where Route 150 crosses the Hudson River too.
"
0	" Correct version: I live at the place where Route 150 crosses the Hudson River, and my dad lives there too.
"
0	" Correct version: Who is she trying to appease now?
"
