label	explanation
1	" None
"
0	" Corrected sentence: The weights made the rope stretch over the pulley.
"
0	" Corrected sentence: The mechanical doll wriggled itself loose from the shelf.
"
1	" None
"
1	" None
"
0	" The correct version of the sentence is: ""The more you would want, the less you would eat.""
"
0	" The correct version of the sentence is: ""I demand that the more John eats, the more he pays.""
"
0	" The correct version of the sentence is: ""Mary listens to the Grateful Dead and gets depressed.""
"
0	" The correct version of the sentence is: ""The angrier Mary got, the more she looked at pictures.""
"
0	" The higher the stakes, the lower his expectations are.
"
0	" The more obnoxious Fred is, the less attention you should pay to him.
"
1	" No correction needed.
"
0	" The more people you give beer to, the more people will likely get sick.
"
0	" The more Bill smokes, the more Susan hates him.
"
0	" The more pictures of him that appear in the news, the more embarrassed John becomes.
"
0	" Every senator seems to become more corrupt as he talks to more lobbyists.
"
0	" The correct version of the sentence is: ""Why does John visit Sally?""
"
1	" No correction needed.
"
1	" No correction needed.
"
1	" No correction needed.
"
1	" You will believe Bob.
"
1	" John has not kissed Mary.
"
1	" I said that never in my life had I seen a place like Bangor. 
"
0	" Mickey looked up at it.
"
1	" There tended to be a lot of discussion.
"
1	" John tried to be a good boy.
"
1	" John is eager.
"
1	" We want John to win.
"
1	" The box contained the ball from the tree.
"
0	" The gas escaped from the tube.
"
1	" Water bubbled up out of the kettle.
"
1	" The tub leaked water.
"
1	" What the water did to the bottle was fill it.
"
1	" What the water did to the whole bottle was fill it.
"
0	" The tank leaked fluid.
"
1	" John lay the ball in the box.
"
1	" John owns the book.
"
1	" We persuaded Mary to leave and Sue to stay.
"
1	" Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.
"
1	" Mary beautifully plays the violin.
"
1	" Clearly, John probably will immediately learn French perfectly.
"
0	" Sue gave Bill a book.
"
1	" The men will all leave.
"
1	" John went home.
"
0	" They represented Mary seriously to the dean as a genuine linguist.
"
0	" We love them.
"
1	" It is nice to go abroad.
"
1	" Mary intended John to go abroad.
"
1	" I remembered having kissed Mary.
"
1	" I can't believe Fred won't, either.
"
1	" John wants to read Fred's story, and I also want to.
"
1	" We wanted to invite someone, but we couldn't decide who to.
"
1	" Mary will read Fred's story, and Joe will read Holly's.
"
0	" Mary claimed that Holly shouldn't eat cabbage.
"
0	" Mary came to be introduced by the bartender, and I also came to be introduced.
"
1	" If I can, I will work on it.
"
1	" Joe's neuroses bother his patrons, and Sally does too.
"
0	" I know which book José didn't read for class, and which book Lilly read for him.
"
0	" This is the book which Bob reviewed, and this is the one which Fred won't review.
"
0	" I know which book Mag read, and which book Bob said that you hadn't read.
"
0	" I know which book Mag read, and which book Bob read that you hadn't.
"
1	" I'm sure I would like him to eat fruit more than I would cookies.
"
0	" Rusty talked about himself only after Mary talked about him.
"
0	" Fred talked about everything before Rusty talked about something.
"
1	" John often meets Mary.
"
0	" The problem is perceived easily.
"
1	" A hundred men surrounded the fort.
"
0	" They elected me.
"
1	" Which report that John was incompetent did he submit?
"
1	" Mary has always preferred lemons to limes.
"
0	" The correct version of the sentence is: He let the cats that were whining out.
"
1	" What did Bill buy?
"
1	" Mary saw the boy walking toward the railroad station.
"
1	" A proof that the claim had been made was given that John had lied.
"
0	" He attributed the fire that destroyed most of my factory to a short circuit caused by an overloaded transducer.
"
0	" The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as being absurd.
"
0	" I want Bill's departure to remain a secret.
"
0	" I know a man whom Tom drives.
"
1	" Drowning cats, which is against the law, are hard to rescue.
"
0	" Muriel said nothing other than that she had been insulted.
"
0	" Rutherford understands himself.
"
1	" I feel that Arch will show up.
"
0	" The proof that this set is recursive is difficult.
"
0	" The madrigals that Henry plays the lute and sings sound lousy.
"
1	" Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.
"
1	" Where did you go and who ate what?
"
0	" Whose employer did we elect as the guardian's president?
"
1	" How sane is Peter?
"
1	" I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.
"
0	" I live at the place where Route 150 crosses the Hudson River and my dad lives there too.
"
1	" Who is she trying to make up to now?
"
0	" Word was gotten of a plot to negotiate an honorable end to the war in Vietnam.
"
1	" Mike talked about politics yesterday to my friends.
"
1	" It was expected by the reporters that the principal would fire some teacher.
"
0	" Which hat did Mike say that she never wore?
"
0	" Which girl did Mike say never wore this hat?
"
1	" We donated wire for the convicts to build cages with.
"
0	" I won't have any money.
"
1	" Do you believe the claim that somebody was looking for something?
"
1	" I won't ask you to believe that he tried to force me to give her any money.
"
1	" That Sam sometimes didn't sleep must have pleased somebody.
"
1	" I talked to Winston about himself.
"
1	" That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.
"
1	" I'll work on it if Sam will be working on it.
"
1	" I'll work on it if I can.
"
0	" Here's a knife for you to cut up the onions with.
"
1	" Fluffy is sick, which not everybody knows.
"
1	" Maxwell is quite a doctor.
"
0	" The younger woman might have been tall, and the older one definitely was blond.
"
0	" Sally is tall and may be blond, and Sheila is short and definitely is blond.
"
1	" I have to try to finish grading some papers.
"
0	" The socks are ready for you to put on.
"
1	" It is easy to play sonatas on this violin.
"
1	" This violin is difficult to play sonatas on.
"
0	" My mother is easy to please.
"
1	" Poor Bill, it had started to rain and he had no umbrella.
"
0	" That the cops spoke to the janitor about that robbery yesterday is terrible.
"
0	" Every student who wears socks is a swinger.
"
1	" That girl was given my binoculars by him.
"
1	" Bill didn't allege that Roger had eaten anything.
"
1	" Nobody who hates to eat anything should work in a delicatessen.
"
1	" Everybody around here who ever buys anything on credit talks in their sleep.
"
1	" I can't remember the name of someone who had misgivings.
"
1	" No writer or playwright meets in Vienna.
"
1	" No writer, nor any playwright, meets in Vienna.
"
1	" That you will marry any student is not certain.
"
1	" Felicia kicked the ball off the bench.
"
1	" I sent the package halfway around the world.
"
0	" Sam took the ball out of the basket.
"
0	" Sam offered the ball from the basket.
"
1	" Park Square has a festive air.
"
1	" The worker will have a job.
"
1	" No one can forgive that comment made to you.
"
1	" We launched the rocket to the moon, but it blew up before it got there.
"
1	" Sarah promised Catherine her old car, but then gave it to her son instead.
"
0	" I lent the book to Tony partway.
"
1	" The farmer loaded the cart with apples.
"
0	" The farmer emptied the cart of apples.
"
1	" Martha carved the baby a toy out of wood.
"
1	" The bread cuts easily.
"
0	" Janet broke Bill's finger.
"
1	" Janet broke the cup.
"
1	" The visitor rang the bell.
"
1	" We pulled free.
"
1	" That movie always shocks people.
"
1	" That movie always shocks.
"
0	" Sharon entered the room.
"
1	" Bill sent a package to Tom.
"
1	" That acorn will grow into an oak tree.
"
1	" He turned into a frog.
"
1	" I mixed the sugar into the butter.
"
0	" Brian hit the fence with the stick.
"
1	" Mira condemned Terry for the accident.
"
1	" We investigated the area for bombs.
"
1	" I sensed his eagerness.
"
1	" They praised the dedication of the volunteers.
"
1	" The earth was believed to be round.
"
1	" Sarah smiled a charming smile.
"
1	" Sandra beamed a cheerful welcome.
"
1	" You've really lived it up.
"
0	" Paperback books lift onto the table easily.
"
1	" The books lifted onto the table.
"
1	" Jessica loaded boxes under the wagon.
"
1	" Jessica loaded boxes on the wagon.
"
0	" Jessica crammed boxes into the truck.
"
0	" Lora buttered the toast.
"
1	" Carla shoveled the walk.
"
1	" Nora sent the book.
"
1	" Nora sent Peter the book.
"
1	" Carla slid the book.
"
0	" Carla slid the book.
"
1	" Amanda carried the package to Pamela.
"
0	" Packages are driven easily to New York.
"
0	" The chair was pushed.
"
1	" We offered a job to her.
"
0	" A job was offered.
"
1	" Brown presented a plaque to Jones.
"
1	" Carmen bought Mary a dress.
"
1	" Carmen obtained the spare part at the hardware store.
"
1	" Michelle kept the desk with the papers.
"
1	" Frances hid the presents in the drawer.
"
1	" The needle poked the cloth.
"
1	" Carrie touched that cat.
"
1	" Herman whipped the sugar and the cream.
"
1	" Linda taped the picture to the wall.
"
1	" Linda taped the picture onto the wall.
"
1	" The child and her mother clung together.
"
1	" This flyer and that flyer differ.
"
0	" This flyer and that flyer differ.
"
1	" The jeweller scribbled the contract with his name.
"
1	" The gardener grew that acorn into an oak tree.
"
1	" I shaped a loaf.
"
0	" The children were amused.
"
1	" Susan whispered the news.
"
0	" Susan whispered to Rachel.
"
1	" Ellen said that melons were selling well.
"
0	" Ellen spoke about the present conditions.
"
1	" Ellen warned Helen against skating on thin ice.
"
1	" Cynthia nibbled on the carrot.
"
0	" Cynthia chewed the carrot.
"
1	" Paul laughed at Mary.
"
0	" Linda winked.
"
0	" My heart is pounding.
"
1	" Sharon fainted from hunger.
"
1	" The witch poisoned the children.
"
1	" A grandfather clock ticked in the hallway.
"
0	" I squeaked the door open.
"
1	" Over the fire there bubbled a fragrant stew.
"
1	" Soaring temperatures are predicted for this weekend.
"
1	" The fort fluttered with many flags.
"
1	" The voices echoed in the hall.
"
1	" The stream twists through the valley.
"
0	" A wonderful opportunity presented itself yesterday.
"
1	" A wonderful opportunity presented itself to him yesterday.
"
1	" Out of the box jumped a little white rabbit.
"
1	" Penny skated around the rink.
"
1	" Jackie accompanied Rose.
"
0	" Much information was provided.
"
0	" John offers much advice.
"
1	" The cake that Jones got was more delicious than the one that Smith got.
"
0	" We recommend eating less cake and pastry.
"
1	" I saw that gas can explode.
"
1	" He washed her.
"
0	" Wash yourself!
"
0	" They have no income.
"
0	" Some of my jobs are in jeopardy.
"
0	" It was the policeman who met several young students in the park last night.
"
1	" Did the policeman meet in the park?
"
1	" John put old books in the box.
"
0	" The monkeys were proud of their leader.
"
0	" John sounded very upset.
"
1	" I don't know if I should agree.
"
1	" John bought a book on the table.
"
1	" John called the president a fool.
"
1	" I forgot how good beer tastes.
"
1	" This teacher is a genius.
"
0	" He remains a good friend to me.
"
1	" John ate his noodle quietly.
"
1	" A smith hammered the metal.
"
1	" Sandy removed her ballet shoes.
"
1	" This week will be a difficult one for us.
"
1	" Benny worked in a shoe factory when he was a student.
"
1	" Everyone hoped that she would sing.
"
1	" This proved a decisive factor.
"
1	" The crocodile devoured the doughnut.
"
1	" John is afraid of Bill.
"
0	" John put it under the bathtub.
"
1	" John placed Kim behind the garage.
"
0	" Kim depends on Sandy.
"
1	" John put the book in the box.
"
1	" John taught English Syntax to new students.
"
1	" John regards Bill as a good friend.
"
0	" Kim put it in the box.
"
1	" The chickens seem fond of the farmer.
"
1	" The rules require that the executives be polite.
"
0	" That Fred was unpopular led to Bill's nomination.
"
1	" They were taking a hard look at possible FTA.
"
0	" John paid me for the book.
"
1	" The committee will study the feasibility of setting up a national computer network.
"
0	" We made them rude.
"
1	" After reading the pamphlet, Judy threw it into the garbage can.
"
0	" Students studying English read Conrad's Heart of Darkness while at university.
"
1	" I read some of the book.
"
1	" Most of the fruit is rotten.
"
0	" Neither of the students failed.
"
0	" I drank some water.
"
0	" It is a golden hair.
"
1	" The boy in the doorway waved to his father.
"
1	" That dog is so ferocious, it even tried to bite itself.
"
0	" He washed himself.
"
0	" John is easy to please.
"
0	" There seemed to be intelligence.
"
1	" John tried to please Stephen.
"
0	" We believed John to be a fountain in the park.
"
1	" It tries to leave the country.
"
1	" John tries to leave the country.
"
1	" Under the bed seems to be a fun place to hide.
"
0	" There are believed to be sheep in the park.
"
0	" I hope to study in France.
"
1	" John can kick the ball.
"
0	" It will rain tomorrow.
"
0	" We expect it to rain.
"
1	" John was found in the office.
"
0	" Was the child in the school?
"
1	" It did not rain.
"
0	" John does not want to leave the town.
"
1	" Mary likes to tour art galleries, but Bill hates to.
"
1	" They needn't take this exam.
"
1	" Ann may spend her vacation in Italy.
"
1	" They love to play golf, but I do not.
"
1	" George has spent a lot of money, hasn't he?
"
0	" As a statesman, he could scarcely do anything worth mentioning.
"
1	" We never found any of the unicorns.
"
1	" One of Korea's most famous poets wrote these lines.
"
1	" Somebody apparently struck the unidentified victim during the early morning hours.
"
1	" The car was driven.
"
1	" Ricky can be relied on.
"
1	" The bed was slept in.
"
0	" The book weighed a pound.
"
1	" Who do you think Tom saw?
"
1	" He had spent five thousand dollars.
"
0	" Fed knows which politician she wants to vote for.
"
1	" How did you guess that he fixed the computer?
"
1	" The committee knows whose efforts to achieve peace the world should honor.
"
0	" Which house does your friend live in?
"
1	" The baker from whom I bought these bagels left.
"
