label	explanation	correction
1	 None. 	" The sailors rode clear of the rocks on the breeze.
"
1	 None. 	" The weights caused the rope to stretch over the pulley.
"
1	 None. 	" The mechanical doll wriggled itself loose from its restraints.
"
1	 None. 	" If you had eaten more, you would want less now.
"
1	 None. 	" As you eat more, you want less now.
"
1	 None. 	" The more you would want, the less you would eat now.
"
0	" The subject ""I"" and verb ""demand"" don't agree in number (singular vs. plural). Also, there should be a comma after ""John."" Additionally, the phrase ""the more John eat"" is grammatically incorrect - it should be ""the more John eats."" Finally, the sentence doesn't make sense because ""eat"" and ""pay"" are not related in this context. "	" Here are two possible correct versions of the sentence: I demand that the more John eats, the more he pays. (This version assumes that there is a logical connection between eating and paying.). I demand that the more John pays, the more he eats. (This version assumes that there is a logical connection between paying and eating.)
"
0	" The subject ""Mary"" and verb ""listens"" don't agree in number (singular vs. plural). Also, there should be a comma after ""Grateful Dead."" Additionally, the phrase ""she gets depressed"" is not grammatically incorrect, but it would be more natural to use ""it makes her feel depressed"" or something similar because ""listening to music"" is an activity that can evoke emotions. "	" Here are two possible correct versions of the sentence: Mary listens to the Grateful Dead; it makes her feel depressed. Mary listens to the Grateful Dead and feels depressed as a result.
"
0	" The subject ""Mary"" and verb ""got"" don't agree in number (singular vs. plural). Also, there should be a comma after ""angrier."" Additionally, the phrase ""the more she looked at pictures"" is grammatically correct but it would be more natural to use ""the more she stared at pictures"" or something similar because ""getting angrier"" and ""looking at pictures"" are not necessarily related actions. "	" Here are two possible correct versions of the sentence: The angrier Mary got, the more she stared at pictures. As Mary grew angrier, she found herself staring at pictures more and more.
"
0	" The subject ""his"" and verb ""are"" don't agree in number (singular vs. plural). Also, there should be a comma after ""stakes."" Additionally, the phrase ""the lower his expectations are"" is grammatically correct but it would be more natural to use ""the lower his expectations become"" or something similar because ""higher stakes"" and ""lower expectations"" are not necessarily related actions. "	" Here are two possible correct versions of the sentence: The higher the stakes, the lower his expectations become. As the stakes get higher, his expectations drop lower.
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
0	" The subject-verb agreement is incorrect. ""give"" should agree with ""people"" as both are plural. Also, ""get"" should be in its base form since it's the past participle of the verb ""get."" "	" The correct version of the sentence would be: ""The more people you give beer to, the sicker people get.""
"
0	" The subject-verb agreement is incorrect. ""does"" should agree with ""Bill"" as both are singular. Also, ""hates"" should be in its base form since it's the past tense of the verb ""hate."" "	" The correct version of the sentence would be: ""The more Bill smokes, the more Susan hates him.""
"
0	" The subject-verb agreement is incorrect. ""appear"" should agree with ""pictures"" as both are plural. Also, ""becomes"" should be in its base form since it's the past participle of the verb ""become."" "	" The correct version of the sentence would be: ""The more pictures of him that appear in the news, the more embarrassed John becomes.""
"
0	" The pronoun ""he"" does not agree with the antecedent ""senator."" Also, ""talks to more lobbyists"" should be in its base form since it's the present tense of the verb ""talk."" "	" The correct version of the sentence would be: ""Every senator seems to become more corrupt as he talks to more lobbyists.""
"
0	" The subject-verb agreement is incorrect. ""does"" should agree with ""John"" as both are singular. Also, ""because he likes"" should be in its base form since it's the present participle of the verb ""like."" "	" The correct version of the sentence would be: ""Why does John visit Sally? He likes her.""
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
0	" The verb ""have"" should be in its base form since it's the past participle of the verb ""have."" Also, ""been working"" should be in its base form since it's the present perfect continuous tense of the verb ""work."" "	" The correct version of the sentence would be: ""He couldn't have been working.""
"
0	" The verb ""can"" should be in its base form since it's the simple present tense of the verb ""can."" Also, ""not have been working"" should be in its base form since it's the negative form of the present perfect continuous tense of the verb ""work."" "	" The correct version of the sentence would be: ""He can't have been working.""
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
0	" The verb ""had"" should be in its base form since it's the past perfect tense of the verb ""have."" Also, ""like Bangor"" should be in its base form since it's the present participle of the verb ""like."" "	" The correct version of the sentence would be: ""I said that I had never seen a place like Bangor.""
"
0	" The pronoun ""it"" does not have a clear antecedent. Also, ""looked up it"" should be in its base form since it's the present tense of the verb ""look."" "	" The correct version of the sentence would depend on what Mickey was looking up. For example: ""Mickey looked up the information,"" or ""Mickey looked up the address.""
"
0	" The verb ""tended"" should be in its base form since it's the past tense of the verb ""tend."" Also, ""to be a lot of discussion"" should be in its base form since it's the present participle of the verb ""be."" "	" The correct version of the sentence would be: ""There was a lot of discussion.""
"
0	" The verb ""tried"" should be in its base form since it's the past tense of the verb ""try."" Also, ""to be a good boy"" should be in its base form since it's the present participle of the verb ""be."" "	" The correct version of the sentence would be: ""John tried to be a good boy.""
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
1	 None. 	" The original sentence is already grammatically correct and does not require any correction.
"
0	" The preposition ""from"" should be replaced with a more appropriate preposition to show the relationship between the ball and the tree. For example, ""The box contained the ball that was on the tree."" or ""The box contained the ball from under the tree."" "	" The correct version of the sentence would depend on what you want to convey about the ball's origin.
"
0	" The verb ""escaped"" should be in its base form since it's the past tense of the verb ""escape."" Also, ""by gas"" should be in its base form since it's the present participle of the verb ""gas."" "	" The correct version of the sentence would depend on what you want to convey about the tube and the gas. For example: ""The tube was filled with gas,"" or ""The tube escaped from the gas leak.""
"
0	" The verb ""bubbled"" should be in its base form since it's the past tense of the verb ""bubble."" Also, ""up out of the kettle"" should be in its base form since it's the present participle of the verb ""come."" "	" The correct version of the sentence would depend on what you want to convey about the water and the kettle. For example: ""Water bubbled up from the kettle,"" or ""The water came up out of the kettle.""
"
0	" The article ""the"" should be replaced with a more appropriate determiner to show possession or reference. For example, ""The tub leaked water,"" or ""This tub leaks water."" Also, ""leaked"" should be in its base form since it's the past tense of the verb ""leak."" "	" The correct version of the sentence would depend on what you want to convey about the tub and the leakage.
"
