label	category	correction
1	none	" The correct version of the sentence is ""The sailors rode the breeze clear of the rocks.""
"
0	syntax, semantics	" It should be either ""The weights made the rope stretch over the pulley"" or ""The weight made the rope stretch over the pulley.""
"
0	syntax, semantics	" It should be either ""The mechanical doll wriggled itself loose"" (meaning: one specific doll moved on its own to become unfastened) or ""The mechanical dolls were designed to wriggle free.""
"
1	syntax	" The correct version of the sentence should be ""If you had eaten more, you would want less.""
"
1	syntax, semantics	" The correct version of the sentence should be ""Since you eat the most, you want the least.""
"
1	syntax, semantics	" The correct version of the sentence should be ""The more you would want, the less you would eat.""
"
1	syntax, semantics	" The correct version of the sentence should be ""I demand that the more John eats, the more he pays.""
"
1	syntax, semantics	" The correct version of the sentence should be ""Mary listens to the Grateful Dead, which makes her depressed.""
"
1	none	" The sentence is already grammatically correct and does not require any changes.
"
1	none	" The sentence is already grammatically correct and does not require any changes.
"
1	syntax	" The correct version of the sentence should be ""The more obnoxious Fred becomes, the less attention you should pay to him.""
"
1	syntax	" The correct version of the sentence should be ""John was much more obnoxious than Fred."" or ""John was a lot more obnoxious than Fred.""
"
1	syntax, morphology	" The correct version of the sentence should be ""The more people you give beer to, the more likely it is that people will get sick."" or ""The more people you give beer to, the higher the risk of people getting sick.""
"
1	syntax, morphology	" The correct version of the sentence should be ""The more Bill smokes, the more Susan hates him."" or ""Bill's smoking is making Susan hate him even more.""
"
1	none	" Your sentence is grammatically correct and conveys a clear meaning.
"
1	syntax, morphology	" The correct version of the sentence would be ""Every senator seems to become more corrupt as he talks to more lobbyists.""
"
1	syntax, morphology	" The correct version of the sentence would be ""Why does John visit Sally?"" or ""What makes John visit Sally?""
"
1	none	" Your sentence is grammatically correct and conveys a clear meaning.
"
1	syntax, morphology	" The correct version of the sentence would be ""He couldn't have been working."" or ""It wasn't possible for him to have been working.""
"
1	syntax, morphology	" The correct version of the sentence would be ""He couldn't have been working."" or ""It wasn't possible for him to have been working.""
"
1	syntax, morphology	" The correct version of the sentence would be ""Believe Bob."" or ""You will believe in Bob.""
"
1	none	" Your sentence is grammatically correct and conveys a clear meaning.
"
1	syntax, morphology	" The correct version of the sentence would be ""I have never seen a place like Bangor."" or ""Never before had I seen a place like Bangor.""
"
1	syntax, morphology	" The correct version of the sentence would be ""Mickey looked it up."" or ""It was Mickey who looked it up.""
"
1	syntax, morphology	" The correct version of the sentence would be ""There tends to be a lot of discussion."" or ""A lot of discussion tended to happen.""
"
1	syntax, morphology	" The correct version of the sentence would be ""John tried to be a good boy."" or ""He tried his best to be a good boy.""
"
1	none	" Your sentence is grammatically correct and conveys a clear meaning.
"
1	none	" Your sentence is grammatically correct and conveys a clear meaning.
"
1	syntax, morphology	" The correct version of the sentence would be ""The box contained a ball from the tree."" or ""It was a ball from the tree that was contained in the box.""
"
1	syntax, morphology	" The correct version of the sentence would be ""The tube was escaped by gas."" or ""Gas escaped from the tube.""
"
1	syntax, morphology	" The correct version of the sentence would be ""Bubbles of water came up out of the kettle."" or ""The kettle boiled, causing bubbles of water to rise up.""
"
1	syntax, morphology	" The correct version of the sentence would be ""The tub leaked water."" or ""Water was leaking from the tub.""
"
1	none	" The correct version of the sentence is ""What the water did to the bottle was to fill it.""
"
1	none	" The correct version of the sentence is ""What the water did to the whole bottle was to fill it.""
"
1	syntax	" The correct version of the sentence is ""The tank leaked fluid free.""
"
1	syntax	" The correct version of the sentence is ""John laid the ball in the box.""
"
1	none	" The correct version of the sentence is ""John owns the book.""
"
1	syntax	" The correct version of the sentence is ""We persuaded Mary to leave and Sue to stay."" or ""We persuaded Mary to leave, but we convinced Sue to stay.""
"
1	syntax, morphology	" The correct version of the sentence could be ""Most people probably consider Klaus guilty of murder, even though the courts didn't actually find him guilty."" or ""Most people probably consider Klaus guilty of murder, although the courts did not actually find him guilty.""
"
1	syntax, morphology	" The correct version of the sentence could be ""Mary plays the violin beautifully."" or ""Mary is beautifully playing the violin.""
"
1	syntax, morphology	" The correct version of the sentence could be ""Clearly, John will immediately learn French perfectly."" or ""John will clearly learn French perfectly right away.""
"
1	syntax, morphology	" The correct version of the sentence could be ""Sue gave Bill a book."" or ""Bill received a book from Sue.""
"
1	syntax, morphology	" The correct version of the sentence could be ""The men will leave."" or ""All the men will leave.""
"
1	none	" The original sentence ""John went home"" is grammatically correct and does not require any correction.
"
0	syntax	" ""They represented seriously to the dean Mary as a genuine linguist"" can be corrected to ""They seriously represented themselves to Dean Mary as a genuine linguist.""
"
0	syntax	" ""Us love they"" can be corrected to ""We love them."" 
"
1	none	" The correct version of the sentence is ""It is nice to go abroad.""
"
1	none	" The correct version of the sentence is ""Mary intended John to go abroad.""
"
1	none	" The correct version of the sentence is ""I remembered having kissed Mary.""
"
1	syntax	" The correct version of the sentence should be ""I can't believe that Fred won't either."" or ""I can't believe that Fred will not either.""
"
1	none	" The correct version of the sentence is ""John wants to read Fred's story, and I also want to.""
"
1	none	" The correct version of the sentence is ""We wanted to invite someone, but we couldn't decide who to invite.""
"
1	none	" The correct version of the sentence is ""Mary will read Fred's story, and Joe will read Holly's.""
"
1	syntax, morphology	" The correct version of the sentence should be ""Mary claimed that Holly shouldn't eat cabbage."" or ""Mary claimed that Holly shouldn't eat cabbages.""
"
1	syntax, morphology	" The correct version of the sentence should be ""Mary came to be introduced by the bartender, and I also came to be."" or ""I also came to be introduced by the bartender, like Mary did.""
"
1	none	" The correct version of the sentence is ""If I can, I will work on it.""
"
1	syntax, morphology	" The correct version of the sentence should be ""Joe's neuroses bother his patrons, and Sally does too."" or ""Sally also bothers Joe's patrons like Joe does.""
"
1	syntax, morphology	" The correct version of the sentence should be ""I know which book José didn't read for class, and I also know which book Lilly did it for him."" or ""José didn't read that book for class, but Lilly did it for him.""
"
1	syntax, morphology	" The correct version of the sentence should be ""This is the book which Bob reviewed, and this is the one which Fred won't read."" or ""Bob reviewed this book, but Fred won't do it with this one.""
"
